user_id,country,device_type,age_group,signup_date
186,Canada,Desktop,45-54,2024-08-28
187,Germany,Mobile,25-34,2024-08-24
188,India,Mobile,18-24,2024-06-13
189,UK,Mobile,25-34,2024-11-20
190,Australia,Desktop,18-24,2024-05-27
191,UK,Desktop,35-44,2024-08-05
192,India,Mobile,18-24,2024-04-17
193,Australia,Mobile,18-24,2024-08-18
194,Germany,Desktop,45-54,2024-03-10
195,India,Mobile,45-54,2024-08-08
196,UK,Mobile,45-54,2024-03-14
197,USA,Mobile,18-24,2024-06-27
198,Canada,Desktop,55+,2024-03-20
199,UK,Mobile,45-54,2024-12-19
200,Australia,Mobile,45-54,2024-06-07
201,India,Desktop,18-24,2024-12-21
202,Canada,Mobile,35-44,2024-06-17
203,India,Mobile,35-44,2024-11-09
204,Australia,Mobile,25-34,2024-06-09
205,India,Desktop,35-44,2024-02-01
206,USA,Tablet,45-54,2024-04-30
207,Canada,Mobile,55+,2024-08-02
208,Canada,Mobile,25-34,2024-01-03
209,Australia,Mobile,55+,2024-08-15
210,USA,Desktop,55+,2024-02-17
211,UK,Desktop,45-54,2024-06-15
212,India,Mobile,18-24,2024-11-28
213,Germany,Mobile,18-24,2024-01-11
214,India,Desktop,18-24,2024-08-25
215,India,Mobile,35-44,2024-10-04
216,UK,Mobile,18-24,2024-08-28
217,India,Mobile,45-54,2024-07-10
218,USA,Mobile,35-44,2024-01-12
219,USA,Mobile,18-24,2024-02-22
220,Canada,Desktop,55+,2024-02-24
221,Australia,Mobile,45-54,2024-11-04
222,Germany,Mobile,45-54,2024-01-21
223,India,Mobile,25-34,2024-01-19
224,India,Mobile,45-54,2024-12-09
225,UK,Mobile,55+,2024-12-15
226,Australia,Mobile,45-54,2024-11-17
227,USA,Desktop,25-34,2024-11-10
228,Germany,Mobile,45-54,2024-02-28
229,Canada,Mobile,45-54,2024-05-30
230,USA,Mobile,25-34,2024-09-15
231,Australia,Mobile,45-54,2024-02-27
232,Canada,Desktop,35-44,2024-08-03
233,UK,Mobile,45-54,2024-03-02
234,UK,Desktop,18-24,2024-05-25
235,India,Mobile,18-24,2024-08-26
236,Australia,Desktop,35-44,2024-10-19
237,Germany,Mobile,45-54,2024-06-30
238,Canada,Desktop,55+,2024-04-04
239,USA,Mobile,45-54,2024-03-18
240,Australia,Mobile,18-24,2024-05-21
241,Australia,Desktop,25-34,2024-04-14
242,UK,Desktop,35-44,2024-09-17
243,India,Mobile,25-34,2024-04-04
244,India,Mobile,55+,2024-08-10
245,Canada,Mobile,45-54,2024-07-08
246,UK,Desktop,55+,2024-05-08
247,Australia,Mobile,25-34,2024-11-14
248,Germany,Mobile,45-54,2024-07-13
249,UK,Desktop,55+,2024-01-20
250,Canada,Desktop,18-24,2024-10-25
251,Canada,Mobile,18-24,2024-08-27
252,UK,Desktop,35-44,2024-08-22
253,Canada,Desktop,18-24,2024-03-25
254,UK,Mobile,18-24,2024-04-03
255,USA,Mobile,25-34,2024-02-11
256,UK,Desktop,18-24,2024-12-29
257,UK,Mobile,18-24,2024-12-15
258,Canada,Desktop,25-34,2024-03-14
259,Canada,Mobile,18-24,2024-12-30
260,India,Mobile,18-24,2024-04-24
261,India,Desktop,35-44,2024-07-08
262,USA,Mobile,18-24,2024-05-04
263,India,Mobile,18-24,2024-01-06
264,UK,Desktop,35-44,2024-02-11
265,Canada,Desktop,25-34,2024-02-27
266,India,Mobile,18-24,2024-01-10
267,India,Mobile,55+,2024-03-29
268,USA,Desktop,25-34,2024-11-29
269,Australia,Desktop,25-34,2024-04-20
270,USA,Mobile,18-24,2024-02-08
271,UK,Desktop,35-44,2024-06-15
272,Canada,Desktop,25-34,2024-01-11
273,USA,Mobile,35-44,2024-04-19
274,India,Desktop,55+,2024-01-16
275,Canada,Mobile,35-44,2024-02-02
276,Canada,Mobile,45-54,2024-08-20
277,India,Desktop,35-44,2024-07-06
278,USA,Desktop,25-34,2024-08-11
279,India,Desktop,35-44,2024-02-28
280,Australia,Mobile,35-44,2024-02-20
281,Canada,Mobile,45-54,2024-09-27
282,Germany,Mobile,45-54,2024-02-12
283,Germany,Mobile,18-24,2024-01-27
284,UK,Mobile,25-34,2024-02-25
285,India,Mobile,18-24,2024-04-30
286,India,Mobile,45-54,2024-04-22
287,UK,Desktop,35-44,2024-11-11
288,UK,Mobile,45-54,2024-04-24
289,UK,Mobile,55+,2024-04-18
290,Canada,Mobile,35-44,2024-06-23
291,Australia,Mobile,18-24,2024-04-21
292,India,Mobile,35-44,2024-04-09
293,Canada,Mobile,55+,2024-01-08
294,UK,Desktop,45-54,2024-05-14
295,India,Mobile,25-34,2024-09-07
296,Canada,Desktop,25-34,2024-12-02
297,Australia,Tablet,25-34,2024-08-27
298,Canada,Desktop,45-54,2024-08-09
299,Australia,Mobile,25-34,2024-05-24
300,UK,Desktop,55+,2024-01-04
301,Australia,Mobile,45-54,2024-10-08
302,India,Mobile,25-34,2024-11-29
303,UK,Desktop,18-24,2024-11-23
304,India,Mobile,45-54,2024-07-15
305,Germany,Mobile,45-54,2024-05-07
306,USA,Mobile,35-44,2024-09-17
307,Australia,Mobile,25-34,2024-03-31
308,USA,Mobile,18-24,2024-11-20
309,USA,Mobile,55+,2024-09-15
310,Australia,Tablet,45-54,2024-04-03
311,UK,Desktop,55+,2024-09-13
312,Germany,Desktop,55+,2024-05-15
313,India,Mobile,55+,2024-01-13
314,Canada,Desktop,35-44,2024-07-16
315,India,Desktop,55+,2024-06-26
316,Canada,Desktop,25-34,2024-04-21
317,India,Mobile,25-34,2024-09-20
318,Australia,Mobile,18-24,2024-03-19
319,Germany,Mobile,18-24,2024-09-12
320,Canada,Mobile,55+,2024-03-14
321,UK,Mobile,55+,2024-06-09
322,India,Desktop,35-44,2024-07-19
323,India,Mobile,55+,2024-11-03
324,Canada,Mobile,55+,2024-02-02
325,UK,Mobile,55+,2024-03-13
326,UK,Mobile,45-54,2024-12-17
327,Australia,Mobile,45-54,2024-10-19
328,Australia,Desktop,35-44,2024-07-16
329,Australia,Mobile,35-44,2024-11-20
330,Australia,Desktop,25-34,2024-11-11
331,Australia,Mobile,35-44,2024-08-27
332,Australia,Mobile,25-34,2024-03-14
333,Germany,Mobile,55+,2024-01-31
334,UK,Desktop,35-44,2024-01-14
335,Australia,Mobile,35-44,2024-07-23
336,UK,Desktop,35-44,2024-11-11
337,UK,Mobile,25-34,2024-03-08
338,USA,Desktop,25-34,2024-05-07
339,Germany,Desktop,18-24,2024-01-26
340,Australia,Mobile,25-34,2024-07-02
341,India,Desktop,25-34,2024-05-16
342,Canada,Mobile,45-54,2024-10-17
343,India,Desktop,35-44,2024-04-15
344,Germany,Mobile,25-34,2024-01-24
345,Canada,Mobile,35-44,2024-12-04
346,Germany,Desktop,35-44,2024-07-12
347,UK,Desktop,45-54,2024-06-17
348,Canada,Mobile,35-44,2024-02-05
349,UK,Desktop,25-34,2024-04-10
350,India,Mobile,35-44,2024-02-03
351,India,Mobile,18-24,2024-02-08
352,Canada,Desktop,18-24,2024-07-29
353,Canada,Mobile,45-54,2024-08-17
354,Australia,Mobile,25-34,2024-10-05
355,Germany,Desktop,45-54,2024-03-20
356,Australia,Mobile,18-24,2024-08-25
357,Germany,Desktop,25-34,2024-06-20
358,Australia,Mobile,35-44,2024-11-21
359,UK,Mobile,25-34,2024-02-28
360,Canada,Mobile,55+,2024-01-22
361,India,Mobile,25-34,2024-12-30
362,Germany,Desktop,35-44,2024-12-09
363,Germany,Mobile,55+,2024-08-25
364,India,Mobile,45-54,2024-10-22
365,Australia,Desktop,25-34,2024-12-06
366,Germany,Mobile,45-54,2024-04-03
367,UK,Desktop,25-34,2024-08-31
368,Canada,Mobile,18-24,2024-01-11
369,India,Desktop,18-24,2024-04-26
370,Canada,Mobile,35-44,2024-09-21
371,Germany,Desktop,18-24,2024-01-12
372,Germany,Desktop,55+,2024-06-02
373,India,Mobile,55+,2024-02-07
374,UK,Mobile,25-34,2024-05-10
375,USA,Desktop,45-54,2024-08-12
376,India,Mobile,55+,2024-05-22
377,USA,Mobile,25-34,2024-02-23
378,Australia,Mobile,45-54,2024-01-24
379,USA,Desktop,18-24,2024-04-30
380,UK,Mobile,25-34,2024-04-28
381,Australia,Mobile,45-54,2024-06-09
382,USA,Mobile,35-44,2024-03-14
383,Australia,Desktop,35-44,2024-07-03
384,USA,Desktop,55+,2024-07-10
385,UK,Tablet,45-54,2024-08-07
386,USA,Mobile,35-44,2024-04-30
387,USA,Desktop,55+,2024-07-27
388,USA,Mobile,25-34,2024-10-26
389,India,Mobile,25-34,2024-12-11
390,India,Mobile,45-54,2024-06-12
391,India,Mobile,45-54,2024-09-24
392,UK,Desktop,45-54,2024-01-03
393,Australia,Mobile,45-54,2024-02-19
394,Germany,Desktop,35-44,2024-12-29
395,USA,Desktop,35-44,2024-07-29
396,USA,Desktop,55+,2024-01-16
397,UK,Mobile,35-44,2024-06-16
398,USA,Mobile,25-34,2024-10-09
399,India,Desktop,55+,2024-11-21
400,Germany,Mobile,35-44,2024-10-24
401,Canada,Mobile,45-54,2024-07-03
402,USA,Mobile,35-44,2024-05-17
403,India,Mobile,18-24,2024-05-04
404,Canada,Desktop,55+,2024-02-27
405,Germany,Mobile,35-44,2024-12-27
406,Canada,Mobile,35-44,2024-03-06
407,India,Mobile,25-34,2024-12-05
408,Australia,Mobile,45-54,2024-07-20
409,Australia,Mobile,45-54,2024-01-09
410,Canada,Mobile,25-34,2024-04-14
411,UK,Mobile,25-34,2024-03-29
412,Canada,Mobile,18-24,2024-03-29
413,USA,Mobile,55+,2024-12-09
414,USA,Mobile,45-54,2024-01-06
415,Australia,Mobile,25-34,2024-06-06
416,UK,Mobile,25-34,2024-11-25
417,India,Desktop,55+,2024-04-12
418,USA,Mobile,25-34,2024-08-10
419,Australia,Mobile,18-24,2024-06-19
420,Germany,Mobile,55+,2024-02-02
421,Australia,Tablet,18-24,2024-06-29
422,USA,Mobile,35-44,2024-07-02
423,USA,Desktop,45-54,2024-03-27
424,Australia,Mobile,25-34,2024-03-09
425,India,Desktop,55+,2024-01-26
426,Canada,Desktop,18-24,2024-01-06
427,USA,Mobile,45-54,2024-09-12
428,Australia,Mobile,45-54,2024-06-30
429,Australia,Mobile,25-34,2024-10-21
430,UK,Mobile,45-54,2024-09-16
431,Canada,Mobile,25-34,2024-11-09
432,Germany,Mobile,35-44,2024-10-30
433,India,Mobile,25-34,2024-11-11
434,Germany,Mobile,18-24,2024-08-21
435,Canada,Mobile,45-54,2024-10-08
436,Canada,Mobile,45-54,2024-07-25
437,Canada,Mobile,45-54,2024-03-17
438,Germany,Tablet,25-34,2024-06-16
439,Canada,Mobile,55+,2024-12-07
440,Australia,Desktop,25-34,2024-02-25
441,Germany,Mobile,18-24,2024-10-21
442,Canada,Mobile,25-34,2024-03-21
443,Australia,Mobile,45-54,2024-06-15
444,UK,Mobile,35-44,2024-06-24
445,Canada,Desktop,18-24,2024-10-07
446,Germany,Desktop,35-44,2024-05-28
447,USA,Mobile,18-24,2024-09-12
448,Canada,Tablet,18-24,2024-10-07
449,USA,Mobile,45-54,2024-12-10
450,Australia,Tablet,25-34,2024-10-04
451,UK,Tablet,45-54,2024-10-05
452,India,Mobile,45-54,2024-07-24
453,UK,Mobile,45-54,2024-01-30
454,Canada,Mobile,35-44,2024-08-05
455,USA,Desktop,18-24,2024-08-18
456,USA,Mobile,55+,2024-12-24
457,Germany,Tablet,25-34,2024-06-10
458,USA,Desktop,45-54,2024-08-04
459,Germany,Mobile,18-24,2024-08-15
460,Australia,Mobile,25-34,2024-11-28
461,India,Desktop,55+,2024-08-08
462,Canada,Mobile,55+,2024-08-21
463,Germany,Desktop,45-54,2024-03-13
464,India,Mobile,55+,2024-04-04
465,USA,Mobile,55+,2024-04-04
466,USA,Mobile,25-34,2024-08-30
467,India,Desktop,25-34,2024-10-19
468,USA,Mobile,45-54,2024-09-19
469,Australia,Desktop,18-24,2024-05-03
470,Australia,Mobile,45-54,2024-10-14
471,India,Desktop,35-44,2024-09-23
472,Germany,Mobile,55+,2024-04-18
473,Germany,Mobile,18-24,2024-12-13
474,India,Desktop,25-34,2024-02-17
475,Germany,Mobile,35-44,2024-10-27
476,Germany,Mobile,35-44,2024-04-04
477,Australia,Mobile,55+,2024-02-02
478,Germany,Desktop,25-34,2024-04-27
479,UK,Desktop,18-24,2024-05-11
480,Canada,Mobile,25-34,2024-09-07
481,USA,Mobile,55+,2024-10-29
482,UK,Desktop,35-44,2024-05-01
483,Germany,Mobile,55+,2024-08-05
484,Australia,Desktop,45-54,2024-02-22
485,India,Mobile,35-44,2024-05-05
486,Germany,Tablet,55+,2024-06-07
487,Australia,Desktop,18-24,2024-06-07
488,Canada,Desktop,18-24,2024-10-09
489,Germany,Desktop,18-24,2024-03-29
490,India,Mobile,45-54,2024-06-24
491,Australia,Mobile,25-34,2024-10-18
492,Australia,Mobile,18-24,2024-06-07
493,Australia,Mobile,45-54,2024-09-05
494,Canada,Mobile,18-24,2024-12-22
495,Germany,Desktop,45-54,2024-05-01
496,Canada,Mobile,18-24,2024-08-24
497,USA,Mobile,25-34,2024-05-04
498,USA,Mobile,55+,2024-11-10
499,Germany,Desktop,18-24,2024-10-05
500,Canada,Mobile,55+,2024-12-20
501,India,Mobile,18-24,2024-11-19
502,Australia,Desktop,25-34,2024-04-01
503,Australia,Mobile,55+,2024-04-14
504,Germany,Mobile,45-54,2024-02-11
505,USA,Mobile,18-24,2024-05-08
506,USA,Desktop,18-24,2024-02-22
507,Australia,Mobile,45-54,2024-06-16
508,Germany,Desktop,25-34,2024-03-30
509,Canada,Mobile,35-44,2024-09-03
510,USA,Desktop,18-24,2024-06-22
511,Canada,Mobile,45-54,2024-03-27
512,USA,Mobile,35-44,2024-05-29
513,USA,Mobile,18-24,2024-09-05
514,UK,Mobile,55+,2024-04-24
515,USA,Mobile,45-54,2024-06-28
516,India,Desktop,55+,2024-04-29
517,Germany,Mobile,25-34,2024-01-28
518,Germany,Desktop,35-44,2024-11-04
519,Canada,Desktop,45-54,2024-04-26
520,USA,Mobile,18-24,2024-07-09
521,India,Desktop,18-24,2024-05-24
522,Canada,Mobile,35-44,2024-11-15
523,UK,Mobile,55+,2024-09-18
524,Canada,Tablet,55+,2024-05-21
525,Canada,Desktop,45-54,2024-04-23
526,USA,Mobile,45-54,2024-09-29
527,UK,Mobile,55+,2024-02-07
528,Canada,Mobile,45-54,2024-07-15
529,India,Tablet,55+,2024-01-13
530,India,Mobile,35-44,2024-04-21
531,Germany,Mobile,45-54,2024-05-16
532,UK,Mobile,55+,2024-06-20
533,UK,Mobile,45-54,2024-05-06
534,Germany,Mobile,18-24,2024-12-27
535,Canada,Mobile,18-24,2024-11-28
536,UK,Mobile,25-34,2024-01-19
537,India,Mobile,55+,2024-07-26
538,India,Desktop,25-34,2024-06-06
539,USA,Mobile,55+,2024-06-08
540,UK,Desktop,45-54,2024-11-29
541,Canada,Desktop,55+,2024-08-27
542,Germany,Desktop,18-24,2024-03-19
543,Germany,Desktop,45-54,2024-11-27
544,Canada,Mobile,18-24,2024-12-22
545,Australia,Mobile,45-54,2024-11-26
546,USA,Mobile,55+,2024-07-15
547,Germany,Mobile,55+,2024-04-29
548,UK,Desktop,18-24,2024-09-04
549,USA,Mobile,35-44,2024-05-18
550,UK,Desktop,55+,2024-08-13
551,India,Mobile,35-44,2024-03-23
552,USA,Desktop,45-54,2024-01-26
553,Germany,Mobile,35-44,2024-05-07
554,USA,Mobile,18-24,2024-08-10
555,USA,Mobile,25-34,2024-12-04
556,USA,Desktop,25-34,2024-02-13
557,Australia,Mobile,18-24,2024-03-24
558,USA,Desktop,25-34,2024-01-25
559,UK,Desktop,18-24,2024-08-07
560,India,Desktop,55+,2024-10-19
561,Canada,Mobile,35-44,2024-07-22
562,USA,Desktop,25-34,2024-07-11
563,Germany,Desktop,55+,2024-01-02
564,USA,Mobile,25-34,2024-07-20
565,Germany,Mobile,45-54,2024-12-19
566,UK,Mobile,18-24,2024-02-01
567,Germany,Mobile,18-24,2024-03-29
568,Canada,Mobile,55+,2024-07-20
569,India,Tablet,45-54,2024-06-26
570,Germany,Mobile,35-44,2024-07-11
571,Germany,Mobile,45-54,2024-06-08
572,India,Tablet,45-54,2024-10-19
573,Canada,Mobile,35-44,2024-07-22
574,USA,Desktop,35-44,2024-08-28
575,Germany,Mobile,45-54,2024-04-24
576,India,Mobile,25-34,2024-07-28
577,UK,Mobile,25-34,2024-08-09
578,India,Mobile,45-54,2024-06-30
579,UK,Mobile,25-34,2024-09-15
580,Canada,Desktop,35-44,2024-02-09
581,USA,Mobile,35-44,2024-11-25
582,India,Desktop,25-34,2024-11-17
583,Australia,Mobile,35-44,2024-02-29
584,Germany,Mobile,18-24,2024-01-11
585,Canada,Desktop,35-44,2024-04-29
586,India,Mobile,45-54,2024-02-11
587,Germany,Desktop,55+,2024-07-08
588,India,Tablet,25-34,2024-05-02
589,UK,Desktop,25-34,2024-07-07
590,India,Mobile,35-44,2024-09-08
591,Australia,Mobile,35-44,2024-04-01
592,India,Desktop,55+,2024-07-31
593,India,Desktop,55+,2024-11-13
594,Australia,Mobile,45-54,2024-07-20
595,Canada,Mobile,18-24,2024-09-24
596,India,Mobile,45-54,2024-06-03
597,Australia,Mobile,25-34,2024-07-13
598,Germany,Mobile,35-44,2024-01-28
599,UK,Mobile,45-54,2024-07-12
600,UK,Desktop,35-44,2024-08-10
601,India,Desktop,35-44,2024-04-16
602,Canada,Mobile,45-54,2024-05-28
603,Canada,Mobile,45-54,2024-05-14
604,Germany,Mobile,55+,2024-04-04
605,India,Tablet,18-24,2024-09-26
606,UK,Tablet,55+,2024-05-05
607,Canada,Desktop,18-24,2024-12-24
608,India,Desktop,45-54,2024-11-24
609,Canada,Mobile,18-24,2024-11-13
610,Australia,Desktop,25-34,2024-01-12
611,Canada,Mobile,55+,2024-10-20
612,UK,Mobile,55+,2024-10-21
613,USA,Desktop,55+,2024-12-07
614,Germany,Mobile,35-44,2024-01-04
615,Germany,Mobile,35-44,2024-10-30
616,UK,Mobile,45-54,2024-11-11
617,Canada,Mobile,45-54,2024-06-16
618,India,Desktop,35-44,2024-01-08
619,Canada,Mobile,55+,2024-05-03
620,UK,Mobile,35-44,2024-11-09
621,Germany,Mobile,18-24,2024-07-03
622,Canada,Mobile,55+,2024-02-04
623,Germany,Mobile,35-44,2024-03-13
624,India,Desktop,45-54,2024-01-13
625,Germany,Mobile,35-44,2024-02-08
626,Germany,Desktop,25-34,2024-03-24
627,USA,Tablet,35-44,2024-01-21
628,USA,Desktop,55+,2024-09-09
629,Australia,Mobile,35-44,2024-10-29
630,USA,Mobile,45-54,2024-09-14
631,Germany,Desktop,18-24,2024-10-26
632,UK,Mobile,25-34,2024-01-30
633,Germany,Desktop,55+,2024-05-07
634,UK,Desktop,45-54,2024-11-06
635,UK,Desktop,25-34,2024-02-09
636,USA,Desktop,35-44,2024-04-06
637,Canada,Mobile,25-34,2024-08-11
638,India,Mobile,18-24,2024-04-01
639,USA,Tablet,25-34,2024-10-06
640,USA,Mobile,25-34,2024-06-18
641,Canada,Mobile,35-44,2024-10-10
642,India,Mobile,35-44,2024-08-09
643,Germany,Mobile,55+,2024-04-26
644,Australia,Desktop,35-44,2024-09-04
645,Australia,Desktop,25-34,2024-12-26
646,Germany,Mobile,18-24,2024-12-14
647,USA,Tablet,35-44,2024-12-19
648,India,Desktop,55+,2024-03-29
649,USA,Mobile,55+,2024-03-18
650,UK,Mobile,25-34,2024-03-14
651,USA,Mobile,35-44,2024-01-14
652,USA,Desktop,35-44,2024-02-14
653,Germany,Mobile,55+,2024-02-07
654,Germany,Mobile,35-44,2024-09-01
655,Germany,Desktop,25-34,2024-03-02
656,Australia,Mobile,18-24,2024-04-05
657,UK,Mobile,25-34,2024-11-18
658,Germany,Mobile,35-44,2024-09-08
659,India,Mobile,25-34,2024-03-01
660,Australia,Desktop,45-54,2024-09-25
